SPEC;UrunTipi;Kalinlik;Genislik;LevhaBoyu;Grade;MamulKodu;Yuzey;Kaplama;"HedefKaplama
g/m2";#NAME?;#NAME?;Alt Astar Klnlk;Alt Boya Klnlk;AltBoya;Üst Astar Klnlk;Üst Boya Klnlk;ÜstBoya;Backcoat Klnlk;CRF Kalinlik;Ticari
005785001;GCR;1;66;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
005786001;GCR;1;116;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
005788001;GCR;1,2;78;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005822001;GCR;0,9;125;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
005827001;GCR;1;139;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
005828001;GCR;1;132;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
005830001;GCR;1;77;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
005833001;GCR;1;110;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
005841001;GCR;1,2;1000;2500;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,21;
005845001;GCR;1,5;1200;3000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,52;
005846001;GCR;1,15;1200;2400;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,16;
005880001;GCR;0,9;1200;2400;DX51D+Z;GCRCP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0,91;
005891001;GCR;1,2;79;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005892001;GCR;1,2;90;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005893001;GCR;1,2;114;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005896001;GCR;1,2;74;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
005899001;GCR;1;1000;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;1,01;
005923001;GCR;1,2;1500;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;1,22;
005925001;GCR;0,8;1500;0;DX51D+Z;GCRP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0,81;
005935001;GCR;1;98;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
005936001;GCR;0,8;1200;2400;DX51D+Z;GCRCP;A;Z;100;0,06;0,06;0;0;;0;0;;0;0,8;
005937001;GCR;1,2;1200;2500;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,21;
005938001;GCR;1,5;1250;2500;DX51D+Z;GCRCP;A;Z;100;0,13;0,13;0;0;;0;0;;0;1,52;
005943001;GCR;0,9;1200;2500;DX51D+Z;GCRCP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0,91;
005946001;GCR;2;1000;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;2,03;
005947001;GCR;1,4;1200;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;1,42;
005949001;GCR;1,15;1200;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;1,16;
005962001;GCR;1,5;1000;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;1,52;
005967001;GCR;0,9;1000;2600;DX51D+Z;GCRCP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0,91;
005970001;GCR;1;1000;2600;DX51D+Z;GCRCP;A;Z;100;0,07;0,07;0;0;;0;0;;0;1,01;
005971001;GCR;1,2;1000;2600;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,21;
005978001;GCR;0,47;1200;2180;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,47;
005982001;GCR;1,2;1000;0;DX51D+Z;GCRP;A;Z;100;0;0;0;0;;0;0;;0;1,21;
005991001;GCR;0,75;1200;3000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,75;
005992001;GCR;0,8;1200;3000;DX51D+Z;GCRCP;A;Z;100;0,06;0,06;0;0;;0;0;;0;0,8;
005993001;GCR;1,4;1000;2400;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,42;
005995001;GCR;1,5;1200;2000;DX51D+Z;GCRCP;A;Z;100;0,11;0,11;0;0;;0;0;;0;1,52;
005997001;GCR;1;1200;2600;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,01;
006004001;GHR;2;1200;0;DX51D+Z;GHRP;A;Z;100;0,14;0,14;0;0;;0;0;;0;0;
006035001;GCR;1;1500;3000;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,01;
006065001;GCR;1,2;1200;4000;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,21;
006072001;GCR;1,5;1200;4000;DX51D+Z;GCRCP;A;Z;100;0,11;0,11;0;0;;0;0;;0;1,52;
006075001;GCR;1,2;1000;6000;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,21;
006079001;GCR;1;1500;2500;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,01;
006080001;GCR;1,2;1000;2900;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,21;
006082001;GCR;1,2;1000;1700;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,21;
006083001;GCR;0,8;1000;2250;DX51D+Z;GCRCP;A;Z;100;0,06;0,06;0;0;;0;0;;0;0,8;
006089001;GCR;1,5;1000;4500;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,52;
006093001;GCR;0,8;60;0;DX51D+Z;GCRSP;A;Z;100;0,06;0,06;0;0;;0;0;;0;0;
006098001;GCR;1,2;56;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
006101001;GCR;1,2;110;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
006102001;GCR;1,2;135;0;DX51D+Z;GCRSP;A;Z;100;0,08;0,08;0;0;;0;0;;0;0;
006107001;GCR;1,5;1000;4000;DX51D+Z;GCRCP;A;Z;100;0,11;0,11;0;0;;0;0;;0;1,52;
